match_set,score_set,brand_set
MANCOMUNIDAD LA VEGA,86,"MANCOMUNIDAD DE LA MERINDAD DE DURANGO, MANCOMUNIDAD DE LA COMARCA DE PAMPLONA, MANCOMUNIDAD INTERMUNICIPAL DEL VALLE DEL VINALOPÓ-MANCOMUNITAT INTERMUNICIPAL DE LA VALL DEL VINALOPÓ, MANCOMUNIDAD DE SERVICIOS SOCIALES Y MUJER ""LA MALICIOSA"", MANCOMUNIDAD ""COMARCA DE LA SIDRA"", MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE LA ZONA DE NOÁIN"
ALMERÍA,86,ALMENARA
VILLADA,86,VALLADA
CONSELL COMARCAL DEL GIRONÈS,86,CONSELL COMARCAL DE TARRAGONÈS
CONSELL COMARCAL DE TARRAGONÈS,86,CONSELL COMARCAL DE GARRIGUES
VILANOVA DEL VALLÈS,86,VILANOVA DEL CAMÍ
CARMONA,86,CARDONA
PALMA DEL RÍO,86,"PALMA DEL CONDADO, LA"
VILLENA,86,VILLANÚA
CASERES,86,CASARES
SELLENT,86,SALLENT
CABANES,86,CABANAS
VILLANÚA,86,VILLADA
LEÓN,86,LENA
ALMENDRALEJO,86,ALMENDRAL
ROIS,86,RIÓS
TIBI,86,IBI
SANTA POLA,86,SANTA OLIVA
YUNQUERA,86,NÁQUERA
